Movie_Name,Genres,Cast,Original_Language,Vote_Average,Budget_USD
Dandadan,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi', 'Thriller']","['Shion Wakayama', 'Natsuki Hanae', 'Abby Trott', 'A.J. Beckles', 'Azucena Estrada', 'José Luis Piedra', 'Mayumi Tanaka', 'Barbara Goodson', 'Nana Mizuki', 'Kari Wahlgren', 'Ayane Sakura', 'Lisa Reimold', 'Kaori Maeda', 'Sarah Anne Williams', 'Miyu Tomita', 'Anairis Quinones', 'Brittany Lauda', 'Kaito Ishikawa']","['Japanese', 'English']",8.5,$0
Inside Out 2,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']","['Amy Poehler', 'Maya Hawke', 'Kensington Tallman', 'Liza Lapira', 'Tony Hale', 'Lewis Black', 'Phyllis Smith', 'Ayo Edebiri', 'Lilimar', 'Grace Lu', 'Sumayyah Nuriddin-Green', 'Adèle Exarchopoulos', 'Diane Lane', 'Kyle MacLachlan', 'Paul Walter Hauser', 'Yvette Nicole Brown', 'Ron Funches', 'James Austin Johnson']","['English', 'French', 'Spanish']",7.5,$200.0M
Trap,"['Crime', 'Horror', 'Mystery', 'Thriller']","['Josh Hartnett', 'Ariel Donoghue', 'Saleka Shyamalan', 'Alison Pill', 'Hayley Mills', 'Jonathan Langdon', 'Mark Bacolcol', 'Marnie McPhail', 'Kid Cudi', 'Russ', 'Marcia Bennett', 'Vanessa Smythe', 'M. Night Shyamalan', 'Lochlan Miller', 'Steve Boyle', ""David D'Lancy Wilson"", 'James Gomez', 'Nadine Hyatt']",['English'],5.9,$30.0M
Abigail,"['Horror', 'Thriller']","['Melissa Barrera', 'Dan Stevens', 'Alisha Weir', 'William Catlett', 'Kathryn Newton', 'Kevin Durand', 'Angus Cloud', 'Giancarlo Esposito', 'Matthew Goode', 'Mahmoud Aldahchan']",['English'],6.6,$28.0M
Wallace & Gromit: Vengeance Most Fowl,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']","['Ben Whitehead', 'Peter Kay', 'Lauren Patel', 'Reece Shearsmith', 'Diane Morgan', 'Adjoa Andoh', 'Muzz Khan', 'Lenny Henry', 'Victoria Elliott', 'John Sparkes', 'Jon Glover', 'Maya Sondhi', 'Bethan Mary-James', 'Tom Doggart', 'Richard Beek', 'Merlin Crossingham', 'David Holt', 'Lizzie Waterworth']",['English'],7.6,$0
The Lord of the Rings: The War of the Rohirrim,"['Animation', 'Action', 'Adventure', 'Drama', 'Fantasy']","['Brian Cox', 'Gaia Wise', 'Miranda Otto', 'Luca Pasqualino', 'Lorraine Ashbourne', 'Shaun Dooley', 'Benjamin Wainwright', 'Yazdan Qafouri', 'Laurence Ubong Williams', 'Michael Wildman', 'Janine Duvitski', 'Bilal Hasna', 'Jude Akuwudike', 'Billy Boyd', 'Dominic Monaghan', 'Alex Jordan', 'Bea Dooley', 'Elijah Tamati']",['English'],6.3,$30.0M
The Beekeeper,"['Action', 'Crime', 'Thriller']","['Jason Statham', 'Emmy Raver-Lampman', 'Bobby Naderi', 'Josh Hutcherson', 'Jeremy Irons', 'David Witts', 'Michael Epp', 'Taylor James', 'Phylicia Rashad', 'Jemma Redgrave', 'Minnie Driver', 'Don Gilet', 'Sophia Feliciano', 'Enzo Cilenti', 'Megan Le', 'Dan Li', 'Georgia Goodman', 'Derek Siow']","['English', 'Japanese']",6.3,$40.0M
Bad Boys: Ride or Die,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Paola Núñez', 'Eric Dane', 'Ioan Gruffudd', 'Jacob Scipio', 'Melanie Liburd', 'Tasha Smith', 'Rhea Seehorn', 'Tiffany Haddish', 'Joe Pantoliano', 'DJ Khaled', 'John Salley', 'Bianca Bethune', 'Dennis Greene', 'Quinn Hemphill']",['English'],6.5,$100.0M
Eden,['Thriller'],"['Jude Law', 'Ana de Armas', 'Vanessa Kirby', 'Daniel Brühl', 'Sydney Sweeney', 'Jonathan Tittel', 'Toby Wallace', 'Ignacio Gasparini', 'Richard Roxburgh', 'Paul Gleeson', 'Thiago Moraes', 'Nicholas Denton', 'Tim Ross', 'Antonio Alvarez', 'Benjamin Gorroño', 'Nicholas Burton', 'Austin Hayden', 'Cristian Lavin']",['English'],6.1,$0
Red One,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Mystery']","['Dwayne Johnson', 'Chris Evans', 'Lucy Liu', 'J.K. Simmons', 'Bonnie Hunt', 'Kristofer Hivju', 'Kiernan Shipka', 'Mary Elizabeth Ellis', 'Wesley Kimmel', 'Nick Kroll', 'Wyatt Hunt', 'Clayton Cooper', 'Lanz Duffy', 'Marc Evan Jackson', 'Makana David', 'Samantha Benson', 'Ashleigh Domangue', 'Cody Easterbrook']",['English'],6.3,$350.0M
Elevation,"['Action', 'Sci-Fi', 'Thriller']","['Anthony Mackie', 'Morena Baccarin', 'Maddie Hasson', 'Danny Boyd Jr.', 'Rachel Nicks', 'Shauna Earp', 'Tyler Grey', 'Mike Hickman', 'Ian Hummel', 'Dave Malkoff', 'Drexel Malkoff', 'Dalila Orozco', 'James Anthony Perez', 'Gregg S. Perry']",['English'],5.6,$0
Wolfs,"['Crime', 'Thriller']","['George Clooney', 'Brad Pitt', 'Amy Ryan', 'Austin Abrams', 'Donut McGunigle', 'Sergio Cota Jr.', 'Poorna Jagannathan', 'Alfred Chou', 'Robert Timothy Smith', 'Amanda Aday', 'Kymbali Craig', 'Linda Carola', 'Zlatko Buric', 'Vladimir Sizov', 'Abby Mohaddes', 'Sasha Biktagir', 'Sammy Horowitz', 'Frank Trigg']",['English'],6.5,$0
Sweetpea,"['Comedy', 'Drama']","['Ella Purnell', 'Jon Pointing', 'Nicôle Lecky', 'Lorraine Burroughs', 'Jeremy Swift', 'Tim Samuels', 'Lydia Whitehead', 'Calam Lynch', 'Leah Harvey', 'Nitin Ganatra', 'Dustin Demri-Burns', 'Ingrid Oliver', 'Alexander Bellinfantie', 'Elliot Cable', 'Jessye Romeo', 'Lucy Heath', 'Jessica Brindle', 'Dino Kelly']",['English'],7.2,$0
Lucky Baskhar,"['Crime', 'Drama', 'Thriller']","['Dulquer Salmaan', 'Meenaakshi Chaudhary', 'Tinnu Anand', 'Sai Kumar', 'Ramki', 'Sarvadaman Banerjee', 'Raghu Babu', 'Manasa Chowdary', 'Sachin Khedekar', 'Sivannarayana Naripeddi', 'Maganti Srinath', 'Rajkumar Kasireddy', 'Mathew Varghese', 'Prabhas Sreenu', 'Micky Makhija', 'Kaveri', 'Gayatri Bhargavi', 'Manik Reddy']",['Telugu'],8.0,$0
Bad Monkey,"['Comedy', 'Drama']","['Vince Vaughn', 'L. Scott Caldwell', 'Rob Delaney', 'Meredith Hagner', 'Natalie Martinez', 'Michelle Monaghan', 'Ronald Peet', 'Jodie Turner-Smith', 'Tom Nowicki', 'David St. Louis', 'Crystal the Monkey', 'Alex Moffat', 'John Ortiz', 'Charlotte Lawrence', 'Todd Allen Durkin', 'Gizel Jiménez', 'Reese Antoinette', 'Nina Grollman']",['English'],7.4,$0
Fly Me to the Moon,"['Comedy', 'Romance']","['Scarlett Johansson', 'Channing Tatum', 'Woody Harrelson', 'Ray Romano', 'Jim Rash', 'Anna Garcia', 'Donald Elise Watkins', 'Noah Robbins', 'Christian Clemenson', 'Colin Woodell', 'Nick Dillenburg', 'Christian Zuber', 'Gene Jones', 'Joe Chrest', 'Stephanie Kurtzuba', 'Colin Jost', 'Dariusz Wolski', 'Njema Williams']",['English'],6.6,$100.0M
The Walking Dead: The Ones Who Live,"['Drama', 'Horror', 'Thriller']","['Andrew Lincoln', 'Danai Gurira', 'Pollyanna McIntosh', ""Terry O'Quinn"", 'Lesley-Ann Brandt', ""Robert O'Hara"", 'Seth Gilliam', 'Matthew Jeffers', 'Breeda Wool', 'Craig Tate', 'Will Brill', 'Cailey Fleming', 'Andrew Bachelor', 'Ben Dickey', 'Erin Anderson', 'Frankie Quinones', 'Julian Cihi', 'Antony Azor']",['English'],7.8,$0
Rebel Ridge,"['Action', 'Crime', 'Drama', 'Thriller']","['Aaron Pierre', 'Don Johnson', 'AnnaSophia Robb', 'David Denman', 'Emory Cohen', 'Oscar Gale', 'Reid Williams', 'Steve Zissis', 'Daniel H. Chung', 'Dana Lee', 'Zsane Jhe', 'C.J. LeBlanc', 'Matthew Rimmer', 'Brannon Cross', 'Victor Eli Hugo', 'James Cromwell', 'Chelsea Bryan', 'Al Vicente']",['English'],6.8,$28.9M
Masters of the Air,"['Action', 'Drama', 'History', 'War']","['Callum Turner', 'Anthony Boyle', 'Austin Butler', 'Darragh Cowley', 'Matt Gavan', 'Jonas Moore', 'David Shields', 'Ben Radcliffe', 'Jordan Coulson', 'Stephen Campbell Moore', 'Adam Long', 'Elliot Warren', 'Edward Ashley', 'Rafferty Law', 'Nate Mann', 'Samuel Jordan', 'Kai Alexander', 'Bailey Brook']",['English'],7.8,$0
A Quiet Place: Day One,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']","[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff', 'Djimon Hounsou', 'Eliane Umuhire', 'Takunda Khumalo', 'Alfie Todd', 'Avy Berry', 'Ronnie Le Drew', 'Benjamin Wong', 'Michael Roberts', 'Gavin Fleming', 'Elijah Ungvary', 'Alexander John', 'Thara Schöön', 'Thea Butler', 'Choy-Ling Man', 'Schnitzel']","['American Sign Language', 'English']",6.3,$67.0M
Whiskey on the Rocks,"['Biography', 'Comedy', 'Drama', 'History', 'War']","['Rolf Lassgård', 'Kestutis Stasys Jakstas', 'Anders Mossling', 'Andrius Bialobzeskis', 'Artur Svorobovich', 'Filip Berg', 'Mark Noble', 'Per Lasson', 'Niklas Engdahl', 'Rolf Lydahl', 'Per Ragnar', 'Oskar Vygonovski', 'Elsa Saisio', 'Vytautas Kaniusonis', 'Daniel Hansson', 'Adam Lundgren', 'Albinas Keleris', 'James Studdert']","['Swedish', 'Russian', 'English', 'German']",7.0,$0
Earth Abides,"['Drama', 'Sci-Fi']","['Alexander Ludwig', 'Jessica Frances Dukes', 'Rodrigo Fernandez-Stoll', 'Elyse Levesque', ""Luisa d'Oliveira"", 'Hilary McCormack', 'Birkett Turton', 'Jenna Berman', 'Adelyn Bruce', 'Isaiah Ramirez', 'Aleksandra Cross', 'Lennox Leacock', 'Elias Leacock', 'Victoria Morgan', 'Howie Lai', 'Andres Joseph', 'Leah Belle MacDonald', 'Aaron Tveit']",['English'],6.2,$0
Agatha All Along,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']","['Kathryn Hahn', 'Joe Locke', 'Sasheer Zamata', 'Ali Ahn', 'Patti LuPone', 'Debra Jo Rupp', 'Aubrey Plaza', 'David A Payton', 'Okwui Okpokwasili', 'Chau Naumova', 'Bethany Michelle Curry', 'Athena Perample', 'Alicia Vela-Bailey', 'Britta Grant', 'Marina Mazepa', 'Maria Dizzia', 'Paul Adelstein', 'Chloe Camp']",['English'],7.2,$0
IF,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']","['Cailey Fleming', 'Ryan Reynolds', 'John Krasinski', 'Phoebe Waller-Bridge', 'Fiona Shaw', 'Steve Carell', 'Louis Gossett Jr.', 'Alan Kim', 'Liza Colón-Zayas', 'Bobby Moynihan', 'Catharine Daddario', 'Audrey Hoffman', 'Laquet Sharnell Pringle', 'Ed Herbstman', 'Barbara Andres', 'Alexander Rivero', 'Shauna Pinkett', ""Sa'Raya Paris Johnson""]",['English'],6.4,$110.0M
The Acolyte,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi', 'Thriller']","['Lee Jung-jae', 'Amandla Stenberg', 'Manny Jacinto', 'Charlie Barnett', 'Dafne Keen', 'Rebecca Henderson', 'Joonas Suotamo', 'Leah Brady', 'Jodie Turner-Smith', 'Dean-Charles Chapman', 'Carrie-Anne Moss', 'Lauren Brady', 'Margarita Levieva', 'Harry Trevaldwyn', 'Amy Tsang', 'Abigail Thorn', 'Saskia Allen', 'Deborah Rosan']",['English'],4.2,$0
MaXXXine,"['Crime', 'Horror']","['Charley Rowan McCain', 'Simon Prast', 'Mia Goth', 'Deborah Geffner', 'Daniel Lench', 'Elizabeth Debicki', 'Chloe Farnworth', 'Brad Swanick', 'Uli Latukefu', 'Susan Pingleton', 'Giancarlo Esposito', 'Moses Sumney', 'Zachary Mooren', 'Halsey', 'Ned Vaughn', 'Kevin Bacon', 'Marcus LaVoi', 'Sophie Thatcher']",['English'],6.3,$1.0M
Kingdom of the Planet of the Apes,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']","['Owen Teague', 'Freya Allan', 'Kevin Durand', 'Peter Macon', 'William H. Macy', 'Eka Darville', 'Travis Jeffery', 'Lydia Peckham', 'Neil Sandilands', 'Ras-Samuel', 'Sara Wiseman', 'Kaden Hartcher', 'Andy McPhee', 'Karin Konoval', 'Nina Gallas', 'Samuel Falé', 'Dichen Lachman', 'Virginie Laverdure']",['English'],6.9,$160.0M
One Day,"['Comedy', 'Drama', 'Romance']","['Leo Woodall', 'Ambika Mod', 'Amber Grappy', 'Brendan Quinn', 'Jonny Weldon', 'Tim McInnerny', 'Eleanor Tomlinson', 'Essie Davis', 'Adam Loxley', 'John Macmillan', 'Anne Bird', 'Mark Rowley', 'Jodie Price', 'Rebekah Murrell', 'Will Hislop', 'Joe Barnes', 'Tim Preston', 'Sophie Wolff']",['English'],8.1,$0
Love Lies Bleeding,"['Action', 'Adventure', 'Crime', 'Mystery', 'Romance', 'Thriller']","['Anna Baryshnikov', 'Kristen Stewart', 'Dave Franco', ""Katy O'Brian"", 'Jena Malone', 'Eldon Jones', 'Ed Harris', 'Catherine Haun', 'Orion Carrington', 'Matthew Blood-Smyth', 'Keith Jardine', 'Jerry G. Angelo', 'Tait Fletcher', 'Jamie Javier Guerrero', 'Roger Ivens', 'Kim S. Monti', 'David DeLao', 'Mikandrew']",['English'],6.6,$0
Emmanuelle,"['Drama', 'Romance']","['Noémie Merlant', 'Will Sharpe', 'Jamie Campbell Bower', 'Chacha Huang', 'Anthony Chau-Sang Wong', 'Naomi Watts', 'Harrison Arevalo', 'Marguerite Dabrin', 'Simon Yin', 'Adam Pak', 'Sofie Royer', 'Hu Kai', 'Isabella Wei', 'Hugh Tran', 'Zariyah Tang', 'Carole Franck', 'Andrea Dolente', 'Naama Preis']","['French', 'English']",4.2,$0
It's What's Inside,"['Comedy', 'Mystery', 'Sci-Fi', 'Thriller']","[""Brittany O'Grady"", 'James Morosini', 'Gavin Leatherwood', 'Nina Bloomgarden', 'Alycia Debnam-Carey', 'Reina Hardesty', 'Devon Terrell', 'David Thompson', 'Madison Davenport', 'Myhraliza Aala', 'Francisco Diego Garcia', 'Dana Millican', 'Aly Nordlie', 'Tyrone J. Criss', 'A. Brian Daniels', 'Tommy Hestmark', 'Timothy Krabill', 'Jesaar Landavaso']",['English'],6.6,$0
Transformers One,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']","['Chris Hemsworth', 'Brian Tyree Henry', 'Scarlett Johansson', 'Keegan-Michael Key', 'Steve Buscemi', 'Laurence Fishburne', 'Jon Hamm', 'Vanessa Liguori', 'Jon Bailey', 'Jason Konopisos-Alvarez', 'Evan Michael Lee', 'James Remar', 'Isaac C. Singleton Jr.', 'Steve Blum', 'Jinny Chung', 'Josh Cooley', 'Dillon Bryan', 'Misty Lee']",['English'],7.6,$75.0M
I Saw the TV Glow,"['Drama', 'Horror']","['Justice Smith', 'Jack Haven', 'Ian Foreman', 'Helena Howard', 'Lindsey Jordan', 'Danielle Deadwyler', 'Fred Durst', ""Conner O'Malley"", 'Emma Portner', 'Madaline Riley', 'Amber Benson', 'Albert Birney', 'Michael C. Maronna', 'Danny Tamberelli', 'Tim Griffin Allan', 'Tyler Dean Flores', 'Elizabeth Scopel', 'Marlyn Bandiero']",['English'],5.8,$0
Kaos,"['Comedy', 'Drama', 'Fantasy']","['Jeff Goldblum', 'Janet McTeer', 'Stephen Dillane', 'Aurora Perrineau', 'Nabhaan Rizwan', 'Killian Scott', 'Misia Butler', 'Susan Wooldridge', 'David Thewlis', 'Cliff Curtis', 'Leila Farzad', 'Matthew Koon', 'Michelle Greenidge', 'Stanley Townsend', 'Selina Jones', 'Debi Mazar', 'Rakie Ayola', 'Ramon Tikaram']",['English'],7.4,$0
Despicable Me 4,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Sci-Fi']","['Steve Carell', 'Kristen Wiig', 'Pierre Coffin', 'Joey King', 'Will Ferrell', 'Sofía Vergara', 'Chris Renaud', 'Dana Gaier', 'Madison Skyy Polan', 'Miranda Cosgrove', 'Steve Coogan', 'John DiMaggio', 'Stephen Colbert', 'Chloe Fineman', 'Laraine Newman', 'Brad Ableson', 'Eden Boulton', 'Cathy Cavadini']","['English', 'French']",6.2,$100.0M
"Oh, Canada",['Drama'],"['Richard Gere', 'Uma Thurman', 'Jacob Elordi', 'Victoria Hill', 'Michael Imperioli', 'Caroline Dhavernas', 'Penelope Mitchell', 'Kristine Froseth', 'Megan MacKenzie', 'Peter Hans Benson', 'Scott Jaeck', 'Cornelia Guest', 'Zach Shaffer', 'Sean Mahan', 'Orlagh Cassidy', 'Jake Weary', 'Gary Hilborn', 'Ryan Woodle']","['English', 'French']",5.7,$0
Godzilla x Kong: The New Empire,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']","['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns', 'Fala Chen', 'Rachel House', 'Ron Smyck', 'Chantelle Jamieson', 'Greg Hatton', 'Kevin Copeland', 'Tess Dobré', 'Tim Carroll', 'Anthony Brandon Wong', 'Sophia Emberson-Bain', 'Chika Ikogwe', 'Vincent B. Gorce', 'Yeye Zhou']",['English'],6.1,$135.0M
Love Me,"['Drama', 'Romance', 'Sci-Fi']","['Kristen Stewart', 'Steven Yeun']",['English'],5.7,$0
Memoir of a Snail,"['Animation', 'Drama']","['Jacki Weaver', 'Sarah Snook', 'Charlotte Belsey', 'Agnes Davison', 'Mason Litsos', 'Daniel Agdag', 'Eric Bana', 'Saxon Wright', 'Dominique Pinon', 'Selena Brennan', 'Adam Elliot', 'Paul Capsis', 'Smita Singh', 'Braiden Asciak', 'Dan Doherty', 'Davey Thompson', 'Magda Szubanski', 'Bernie Clifford']","['English', 'French']",7.8,$0
Get Away,"['Comedy', 'Horror']","['Nick Frost', 'Aisling Bea', 'Sebastian Croft', 'Maisie Ayres', 'Eero Milonoff', 'Jouko Ahola', 'Ville Virtanen', 'Anitta Suikkari', 'Veera Anttila', 'Maria Järvenhelmi', 'Ilkka Koivula', 'Verneri Lilja', 'Mirja Oksanen', 'Karoliina Blackburn', 'Tero Jartti', 'Juha Uutela', 'Joona-Julius Hautalahti', 'Petteri Kaukoranta']",['English'],5.3,$0
Baby Reindeer,"['Biography', 'Drama']","['Richard Gadd', 'Jessica Gunning', 'Nava Mau', 'Michael Wildman', 'Danny Kirrane', 'Nina Sosanya', 'Shalom Brune-Franklin', 'Thomas Coombes', 'Mark Lewis Jones', 'Amanda Root', 'Alexandria Riley', 'Tom Goodman-Hill', 'Tom Durant Pritchard', 'Hugh Coles', 'Josh Finan', 'Jim Caesar', 'Miya Ocego', 'Laura Smyth']",['English'],7.7,$0
Werewolves,"['Action', 'Horror', 'Thriller']","['Frank Grillo', 'Katrina Law', 'Ilfenesh Hadera', 'James Michael Cummings', 'Lou Diamond Phillips', 'Kamdynn Gary', 'Lydia Styslinger', 'Daniel Fernandez', 'James Kyson', 'Betzaida Landín', 'Sam Daly', 'Brielle Miller', 'Andrea Perez', 'Ian Whyte', 'Dane DiLiegro', 'Ian Feuer', 'Ronal Tejada', 'Jaime Thordsen']",['English'],4.4,$0
Rescue: HI-Surf,"['Action', 'Drama']","['Robbie Magasiva', 'Arielle Kebbel', 'Adam Demos', 'Kekoa Kekumano', 'Zoe Cipres', 'Alex Aiono', 'Sea Shimooka', 'Christina Souza', ""Ka'enaaloha Watson"", 'Hayley Malia Johnson', 'Shawn Hatosy', 'Ian Anthony Dale', 'Taylor Cooper', 'Matt Corboy', 'Nakoa DeCoite', 'Bradley Anderson', 'Sisa Grey', ""Ka'ano'i Chandler""]",['English'],6.4,$0
La Palma,['Drama'],"['Thea Sofie Loch Næss', 'Anders Baasmo', 'Alma Günther', 'Ingrid Bolsø Berdal', 'Bernard Storm Lager', 'Amund Harboe', 'Jenny Evensen', 'Jorge de Juan', 'Johannes Joner', 'Ted Evans', 'Ólafur Darri Ólafsson', 'Thorbjørn Harr', 'Iselin Shumba Skjævesland', 'Eirik Hallert', 'Jakob Amadeus Hetland', 'Ruth Lecuona', 'Javi Armas', 'Benjamin Lønne Røsler']","['Norwegian', 'Spanish']",6.2,$0
The Fire Inside,"['Biography', 'Drama', 'Sport']","['Ryan Destiny', 'Brian Tyree Henry', 'Jazmin Headley', 'Kylee D. Allen', ""De'Adre Aziza"", 'Chrystian Buddington', 'Maurice Wayne Anglin', 'Teanna Weir', 'Idrissa Sanogo', 'Taytem Douglas', 'Olunike Adeliyi', 'Adam Clark', 'Shechinah Mpumlwana', 'Nendia Lewars', 'Sekhai Jayden Smith', 'Chidubem Rafael Echendu', 'Sarah Allen', 'Lanette Ware']",['English'],6.8,$12.0M
All We Imagine as Light,"['Drama', 'Romance']","['Kani Kusruti', 'Divya Prabha', 'Chhaya Kadam', 'Hridhu Haroon', 'Azees Nedumangad', 'Anand Sami', 'Lovleen Mishra', 'Madhu Raja', 'Shweta Prajapati', 'Tintumol Joseph', 'Ardra K.S.', 'Sisira Anil CK', 'Aparna Ram', 'Kashish Singh', 'Nikhil Mathew', 'Bipin Nadkarni', 'Snehalata Siddarth Tagde', 'Saee Abhay Limaye']","['Malayalam', 'Hindi', 'Marathi', 'English', 'German']",7.1,$0
Hard Truths,"['Comedy', 'Drama']","['Marianne Jean-Baptiste', 'Michele Austin', 'David Webber', 'Tuwaine Barrett', 'Ani Nelson', 'Sophia Brown', 'Jonathan Livingstone', 'Jo Martin', 'Llewella Gideon', 'Yvette Boakye', 'Chinenye Ezeudu', 'Diana Yekinni', 'Elliot Edusah', 'Tiwa Lade', 'Alice Bailey Johnson', 'Gary Beadle', 'Diveen Henry', 'Bryony Miller']",['English'],7.4,$0
The Crow,"['Action', 'Crime', 'Fantasy', 'Horror', 'Romance', 'Thriller']","['Bill Skarsgård', 'FKA twigs', 'Danny Huston', 'Josette Simon', 'Laura Birn', 'Sami Bouajila', 'Karel Dobrý', 'Jordan Bolger', 'Sebastian Orozco', 'David Bowles', 'Trigga', 'Samba Goldin', 'Isabella Wei', 'Jordan Haj', 'Dukagjin Podrimaj', 'Darija Pavlovicová', ""Caolan O'Neill Forde"", 'Janek Gregor']",['English'],4.7,$50.0M
Protection,"['Crime', 'Drama', 'Thriller']","['Siobhan Finneran', 'Barry Ward', 'Nadine Marshall', 'Chaneil Kular', 'Katherine Kelly', 'David Hayman', 'Alec Newman', 'Tom Christian', 'Akia Henry', 'Jodie Price', 'Andrew Knott', 'Ace Bhatti', 'Nichola Burley', 'Tilly Kaye', 'Charlotte Mills', 'Jonathan Cake', 'Ian Pirie', 'Zora Bishop']",['English'],7.0,$0
Snack Shack,['Comedy'],"['Conor Sherry', 'Gabriel LaBelle', 'Mika Abdalla', 'Nick Robinson', 'David Costabile', 'Gillian Vigman', 'June Gentry', 'April Clark', 'Michael Bonini', 'Christian James', 'Steve Berg', 'Kate Robertson Pryor', 'JD Evermore', 'Tracy Long', 'Christian J. Velez', 'Dawson Mullen', 'Jason Boots', 'Sidi Henderson']",['English'],7.0,$0
Oddity,"['Horror', 'Thriller']","['Carolyn Bracken', 'Johnny French', 'Steve Wall', 'Joe Rooney', 'Gwilym Lee', 'Tadhg Murphy', 'Caroline Menton', 'Ivan de Wergifosse', 'Shane Whisker', 'Joshua Campbell', 'Austin Lawlor', 'Peter McCarthy', 'Fiach McHugh', 'Patrick Mullins', ""Jim O'Donnell"", 'Inma Pavon', 'Leticia Lopez Ramos', 'Chris Mudrack']",['English'],6.7,$0
Kneecap,"['Comedy', 'Drama', 'Music']","['Móglaí Bap', 'Mo Chara', 'DJ Próvai', 'Josie Walker', 'Fionnuala Flaherty', 'Jessica Reynolds', 'Adam Best', 'Simone Kirby', 'Michael Fassbender', 'Matthew Sharpe', 'Cathal Mercer', 'Donagh Deeney', 'Marty Maguire', 'Saorlaoith Brady', 'Aidan McCaughey', 'Cillian Kernan', 'Lalor Roddy', 'Gerry Adams']","['English', 'Irish Gaelic']",7.6,$0
Eric,"['Crime', 'Drama', 'Thriller']","['Benedict Cumberbatch', 'Gaby Hoffmann', 'Dan Fogler', 'McKinley Belcher III', 'Ivan Morris Howe', 'Bamar Kane', 'José Pimentão', 'Jeff Hephner', 'Erika Soto', 'Donald Sage Mackay', 'Wade Allain-Marcus', 'David Denman', 'Ioachim Ciobanu', 'Adepero Oduye', 'Roberta Colindrez', 'Chloe Claudel', 'Simon Manyonda', 'Clarke Peters']",['English'],6.9,$0
Ripley,"['Crime', 'Drama', 'Thriller']","['Andrew Scott', 'Dakota Fanning', 'Johnny Flynn', 'Margherita Buy', 'Vittorio Viviani', 'Francesca Romana Bergamo', 'Eliot Sumner', 'Maurizio Lombardi', 'Kenneth Lonergan', 'Gennaro Arena', 'Bokeem Woodbine', 'Renato Solpietro', 'Leonardo Sbragia', 'Mauro Marino', 'Massimo De Lorenzo', 'Laurence Mazzoni', 'Daniele Amendola', 'Francesco Biscione']",['English'],8.1,$0
Distant,"['Comedy', 'Drama', 'Sci-Fi', 'Thriller']","['Anthony Ramos', 'Naomi Scott', 'Kristofer Hivju', 'Zachary Quinto', 'Izzy Jones', 'Leon Nurse-Joseph', 'Milan Walls-Smith', 'Paisley Roemer']",['English'],5.7,$0
Fool Me Once,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Michelle Keegan', 'Adeel Akhtar', 'Richard Armitage', 'Emmett J Scanlan', 'Thea Taylor-Morgan', 'Marcus Garvey', 'Dino Fetscher', 'Joanna Lumley', 'Danya Griver', 'Daniel Burt', 'Hattie Morahan', 'Natalie Anderson', 'Laurie Kynaston', 'James Northcote', 'Jade Anouka', 'Samuel Glyde-Rees', 'Edward Harper-Jones', 'Natalia Kostrzewa']",['English'],6.8,$0
Laid,['Comedy'],"['Stephanie Hsu', 'Zosia Mamet', 'Michael Angarano', 'Tommy Martinez', 'Andre Hyland', 'Ryan Pinkston', 'Olivia Holt', 'Elizabeth Bowen', 'David Denman', 'Susan Berger', 'Simu Liu', ""Finneas O'Connell"", 'Chloe Fineman', 'Brandon Perea', 'Uli Latukefu', 'Adeline Rudolph', 'Amro Majzoub', 'Francesca Reale']",['English'],6.9,$0
Trolösa,['Drama'],"['Frida Gustavsson', 'Gustav Lindh', 'August Wittgenstein', 'Poppy Klintenberg Hardy', 'Lena Endre', 'Jesper Christensen', 'Léonie Vincent', 'Andreas Kundler', 'Annika Hallin', 'Edda Magnason', 'Malin Crépin', 'Kicki Bramberg', 'Sven Ahlström', 'Viktor Garrison', 'Carl Louis Jessen', 'Peter Danemo', 'Kit Walker Johansson', 'Per Johnsson']",['Swedish'],6.6,$0
