Movie_Name,Genres,Cast,Original_Language,Vote_Average,Budget_USD
Sonic the Hedgehog 3,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']","['Jim Carrey', 'Ben Schwartz', 'Keanu Reeves', 'Idris Elba', ""Colleen O'Shaughnessey"", 'James Marsden', 'Tika Sumpter', 'Lee Majdoub', 'Krysten Ritter', 'Adam Pally', 'Natasha Rothwell', 'Shemar Moore', 'Alyla Browne', 'Tom Butler', 'Jorma Taccone', 'Sofia Pernas', 'Cristo Fernández', 'James Wolk']",['English'],7.0,$122.0M
Conclave,"['Drama', 'Mystery', 'Thriller']","['Ralph Fiennes', 'Stanley Tucci', 'John Lithgow', 'Lucian Msamati', 'Jacek Koman', 'Bruno Novelli', 'Thomas Loibl', ""Brían F. O'Byrne"", 'Isabella Rossellini', 'Rony Kramer', 'Sergio Castellitto', 'Valerio Da Silva', 'Carlos Diehz', 'Joseph Mydell', 'Vincenzo Failla', 'Garrick Hagon', 'Merab Ninidze', 'Madhav Sharma']","['English', 'Italian', 'Spanish', 'Latin']",7.4,$20.0M
The Day of the Jackal,"['Action', 'Crime', 'Drama', 'Thriller']","['Eddie Redmayne', 'Lashana Lynch', 'Eleanor Matsuura', 'Chukwudi Iwuji', 'Úrsula Corberó', 'Ben Hall', 'Lia Williams', 'Jon Arias', 'Khalid Abdalla', 'Sule Rimi', 'Florisa Kamara', 'Nick Blood', 'Charles Dance', 'Corey Johnson', 'Christy Meyer', 'Adoney Díaz Barajas', 'Saúl Díaz Barajas', 'Patrick Kennedy']","['English', 'Spanish', 'German']",8.2,$0
A Real Pain,"['Comedy', 'Drama']","['Kieran Culkin', 'Jesse Eisenberg', 'Olha Bosova', 'Banner Eisenberg', 'Jakub Gasowski', 'Will Sharpe', 'Daniel Oreskes', 'Liza Sadovy', 'Kurt Egyiawan', 'Jennifer Grey', 'Ellora Torchia', 'Piotr Czarniecki', 'Krzysztof Jaszczak', 'Marek Kasprzyk', 'Jakub Pruski']","['English', 'Polish']",7.1,$0
Watson,"['Drama', 'Mystery']","['Morris Chestnut', 'Eve Harlow', 'Peter Mark Kendall', 'Inga Schlingmann', 'Rochelle Aytes', 'Ritchie Coster', ""Tommy O'Brien"", 'Bethany Brown', 'Danny Mac', 'Anjelica Bette Fellini', 'Shannon Berry', 'Randall Park', 'Jean Zarzour', 'Alejandra Chavarria', 'Lesley Mirza', 'Grace Gouwens', 'Andrew Dobbie', 'Riley Orr']",['English'],4.6,$0
Wicked,"['Fantasy', 'Musical', 'Romance']","['Cynthia Erivo', 'Ariana Grande', 'Jeff Goldblum', 'Michelle Yeoh', 'Jonathan Bailey', 'Ethan Slater', 'Marissa Bode', 'Peter Dinklage', 'Andy Nyman', 'Courtney Mae-Briggs', 'Bowen Yang', 'Bronwyn James', 'Aaron Teoh Guan Ti', 'Shaun Prendergast', 'Keala Settle', 'Sharon D. Clarke', 'Jenna Boyd', 'Colin Michael Carmichael']",['English'],7.6,$150.0M
The Agency,"['Drama', 'Thriller']","['Michael Fassbender', 'Jeffrey Wright', 'Jodie Turner-Smith', 'Katherine Waterston', 'Harriet Sansom Harris', 'John Magaro', 'Saura Lightfoot-Leon', 'Andrew Brooke', 'India Fowler', 'Reza Brojerdi', 'Alex Reznik', 'Richard Gere', 'Bilal Hasna', 'Sabrina Wu', 'Adam Nagaitis', 'Tom Vaughan-Lawlor', 'Ambreen Razia', 'Kurt Egyiawan']",['English'],7.4,$0
The Wild Robot,"['Animation', 'Sci-Fi']","[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy', 'Stephanie Hsu', 'Matt Berry', 'Ving Rhames', 'Mark Hamill', ""Catherine O'Hara"", 'Boone Storm', 'Alexandra Novelle', 'Raphael Alejandro', 'Paul-Mikél Williams', 'Eddie Park', 'Dee Bradley Baker', 'Randy Thom', 'Avrielle Corti', 'Keston John']","['English', 'German', 'French', 'Spanish', 'Swahili', 'Japanese']",8.2,$78.0M
Presence,"['Drama', 'Horror', 'Thriller']","['Lucy Liu', 'Chris Sullivan', 'Callina Liang', 'Eddy Maday', 'West Mulholland', 'Julia Fox', 'Benny Elledge', 'Daniel Danielson', 'Jared Wiseman', 'Robert M. Jimenez', 'Lucas Papaelias', 'Natalie Woolams-Torres']",['English'],6.6,$0
Pushpa: The Rule - Part 2,"['Action', 'Crime', 'Drama', 'Thriller']","['Allu Arjun', 'Rashmika Mandanna', 'Fahadh Faasil', 'Jagadeesh Prathap Bandari', 'Jagapathi Babu', 'Sunil', 'Anasuya Bharadwaj', 'Rao Ramesh', 'Aadukalam Naren', 'Tarak Ponnappa', 'Shanmukh', 'Ajay', 'Mime Gopi', 'Dayanand Reddy', 'Kalpalatha', 'Rajasekhar Aningi', 'Satya', 'Saurabh Sachdeva']",['Telugu'],6.2,$0
I'm Still Here,"['Biography', 'Drama', 'History']","['Fernanda Torres', 'Fernanda Montenegro', 'Selton Mello', 'Valentina Herszage', 'Maria Manoella', 'Bárbara Luz', 'Gabriela Carneiro da Cunha', 'Luiza Kosovski', 'Marjorie Estiano', 'Guilherme Silveira', 'Antonio Saboia', 'Cora Mora', 'Olívia Torres', 'Pri Helena', 'Humberto Carrão', 'Charles Fricks', 'Maeve Jinkings', 'Luana Nastas']",['Portuguese'],8.8,$1.6M
Mufasa: The Lion King,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Musical']","['Aaron Pierre', 'Kelvin Harrison Jr.', 'Tiffany Boone', 'Kagiso Lediga', 'Preston Nyman', 'Blue Ivy Carter', 'John Kani', 'Mads Mikkelsen', 'Seth Rogen', 'Billy Eichner', 'Thandiwe Newton', 'Lennie James', 'Anika Noni Rose', 'Keith David', 'Braelyn Rankins', 'Theo Somolu', 'Donald Glover', 'Beyoncé']",['English'],6.7,$200.0M
Moana 2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Hualalai Chung', 'Rose Matafeo', 'David Fane', 'Awhimai Fraser', 'Khaleesi Lambert-Tsuda', 'Temuera Morrison', 'Nicole Scherzinger', 'Rachel House', 'Gerald Faitala Ramsey', 'Alan Tudyk', 'Jemaine Clement', ""Tofiga Fepulea'i"", 'Jasmine Johnson', 'Tiana Johnson', 'Ata Johnson', 'Bryson Chun']",['English'],6.8,$150.0M
Heretic,"['Horror', 'Thriller']","['Hugh Grant', 'Sophie Thatcher', 'Chloe East', 'Topher Grace', 'Elle Young', 'Julie Lynn Mortensen', 'Haylie Hansen', 'Elle McKinnon', 'Hanna Huffman', 'Anesha Bailey', 'Miguel Castillo', 'Stephanie Lavigne', 'Wendy Gorling', 'Carolyn Adair', 'River Codack']",['English'],7.0,$10.0M
